Uruguay,URY,21661.57896
United States,USA,57638.15909
Uzbekistan,UZB,6525.263998
St. Vincent and the Grenadines,VCT,11479.03148
Vietnam,VNM,6434.917943
Vanuatu,VUT,3086.546182
Samoa,WSM,6390.638935
Kosovo,XKX,10083.29566
"Yemen, Rep.",YEM,2512.339519
South Africa,ZAF,13247.64349
Zambia,ZMB,3940.701882
Zimbabwe,ZWE,2031.020179
